cruise,station,FishSpecies,FishNum,preyNum,preyTaxon,preyTaxa,preySpp,Ocularunits,Mag,prey_mm,Scope,preyCount,gutCount,Comments_prey,Comments_gut,forkLength,BEGIN_GMT_TOWDATE,average_depth,decimalLatitude,decimalLongitude,Llopiz_taxa,scientificNameID_preyTaxon,scientificName_preyTaxon,scientificName_Rank
201802,161,P_tri,3,1,Appendicularia,NA,NA,2.2,1.25,1.41025641,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,2,Appendicularia,NA,NA,1.9,1.25,1.217948718,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,3,Appendicularia,NA,NA,1.6,1.25,1.025641026,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,4,Appendicularia,NA,NA,2.3,1.25,1.474358974,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,5,Appendicularia,NA,NA,4,1.25,2.564102564,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,6,Appendicularia,NA,NA,2.6,1.25,1.666666667,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,7,Appendicularia,NA,NA,1.9,1.25,1.217948718,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Appendicularia,159664,Appendicularia,Class
201802,161,P_tri,3,1,Hyperiidae,Hyperia,NA,13.4,1.25,8.589743589,M60,NA,21,NA,NA,171,2018-04-19T15:05:00Z,137,40.055582,-70.72235,Hyperia,95109,Hyperia,Genus
201802,158,P_tri,1,1,Mysida,Neomysis,NA,5,1,4.032258065,M60,NA,15,NA,NA,162,2018-04-19T07:20:00Z,217,40.06006,-71.016753,Neomysis,90054,Neomysis,Genus
201802,158,P_tri,1,1,Copepoda,NA,NA,2.9,1.6,1.435643565,M60,NA,15,NA,NA,162,2018-04-19T07:20:00Z,217,40.06006,-71.016753,Copepoda,85257,Copepoda,Subclass
201802,158,P_tri,1,1,CalanoidSmall,Centropages,NA,3.4,3.2,0.829268293,M60,NA,15,NA,NA,162,2018-04-19T07:20:00Z,217,40.06006,-71.016753,Centropages,85761,Centropages,Genus
201802,158,P_tri,1,2,CalanoidSmall,Centropages,NA,6.2,3.2,1.512195122,M60,NA,15,NA,NA,162,2018-04-19T07:20:00Z,217,40.06006,-71.016753,Centropages,85761,Centropages,Genus
201802,158,P_tri,1,3,CalanoidSmall,Centropages,NA,4.5,2.5,1.421052633,M60,NA,15,NA,NA,162,2018-04-19T07:20:00Z,217,40.06006,-71.016753,Centropages,85761,Centropages,Genus
201802,158,P_tri,1,1,Appendicularia,NA,NA,2.2,1,1.774193549,M60,NA,15,NA,NA,162,2018-04-19T07:20:00Z,217,40.06006,-71.016753,Appendicularia,159664,Appendicularia,Class
201802,152,A_aes,2,1,Appendicularia,NA,NA,1.8,1.6,0.891089109,M60,NA,8,NA,NA,224,2018-04-18T09:45:00Z,61,40.619975,-71.773508,Appendicularia,159664,Appendicularia,Class
201802,152,A_aes,2,2,Appendicularia,NA,NA,2.1,1.6,1.039603961,M60,NA,8,NA,NA,224,2018-04-18T09:45:00Z,61,40.619975,-71.773508,Appendicularia,159664,Appendicularia,Class
201802,152,A_aes,2,3,Appendicularia,NA,NA,1.6,1.6,0.792079208,M60,NA,8,NA,NA,224,2018-04-18T09:45:00Z,61,40.619975,-71.773508,Appendicularia,159664,Appendicularia,Class
201802,152,A_aes,2,1,Cumacea,NA,NA,7.5,1.6,3.712871288,M60,NA,8,NA,NA,224,2018-04-18T09:45:00Z,61,40.619975,-71.773508,Cumacea,90745,Cumacea,Order
201802,153,C_har,2,1,Chaetognatha,NA,NA,2.4,1.25,1.538461538,M60,NA,24,NA,NA,255,2018-04-18T13:17:00Z,76,40.377098,-71.751862,Chaetognatha,158650,Chaetognatha,Phylum
201802,153,C_har,2,2,Chaetognatha,NA,NA,15,0.63,19.73684211,M60,NA,24,NA,NA,255,2018-04-18T13:17:00Z,76,40.377098,-71.751862,Chaetognatha,158650,Chaetognatha,Phylum
201802,153,C_har,2,1,Calanus,NA,NA,7.8,2.5,2.463157897,M60,NA,24,Juvenile,NA,255,2018-04-18T13:17:00Z,76,40.377098,-71.751862,Calanus,85263,Calanus,Genus
201802,153,C_har,2,1,Cirripedia,NA,NA,2.2,1.6,1.089108911,M60,NA,24,Cyprid,NA,255,2018-04-18T13:17:00Z,76,40.377098,-71.751862,Cirripedia,89433,Cirripedia,Infraclass
201802,153,C_har,2,1,Appendicularia,NA,NA,2.2,1.6,1.089108911,M60,NA,24,NA,NA,255,2018-04-18T13:17:00Z,76,40.377098,-71.751862,Appendicularia,159664,Appendicularia,Class
201802,153,C_har,2,1,Calanus,NA,NA,4.8,1.6,2.376237624,M60,NA,24,NA,NA,255,2018-04-18T13:17:00Z,76,40.377098,-71.751862,Calanus,85263,Calanus,Genus
201802,160,A_pse,3,1,Appendicularia,NA,NA,2,1.25,1.282051282,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,2,Appendicularia,NA,NA,2.1,1.25,1.346153846,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,3,Appendicularia,NA,NA,1.8,1.25,1.153846154,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,4,Appendicularia,NA,NA,2.6,1.25,1.666666667,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,5,Appendicularia,NA,NA,4.7,2.5,1.484210528,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,6,Appendicularia,NA,NA,1.8,1.25,1.153846154,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,7,Appendicularia,NA,NA,2.7,1.25,1.730769231,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,8,Appendicularia,NA,NA,2,1.25,1.282051282,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,9,Appendicularia,NA,NA,2,1.25,1.282051282,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,10,Appendicularia,NA,NA,1.8,1.25,1.153846154,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Appendicularia,159664,Appendicularia,Class
201802,160,A_pse,3,1,Parasite,NA,NA,18.5,1.25,11.85897436,M60,NA,24,NA,NA,256,2018-04-19T12:58:00Z,134,40.152495,-70.814382,Parasite,202423,Animalia,Kingdom
